,wbcode,year,Democracy,Protest,Within,Credibility,Adverse,Flexibility,Regime,Violence,Transparency,Democracy.rfI,Protest.rfI,Within.rfI,Credibility.rfI,Adverse.rfI,Flexibility.rfI,Regime.rfI,Violence.rfI,Transparency.rfI
97,ADO,2011,,,,,,,,,,0.467854102,-0.32980925,-0.429604153,1.493344167,0.061626577,-0.299470064,-0.329600054,-0.282391116,0.277166627
98,ADO,2012,,,,,,,,,,0.513487352,-0.21600363,-0.061020921,-0.659680225,-0.518635146,-0.051342405,-0.242275056,0.208769159,-0.313583606
99,ADO,2013,,,,,,,,,,-0.179105306,-0.21205518,-0.641720692,-0.635466856,0.228315673,-0.116786389,-0.239496456,-0.618737823,-0.39003765
100,ADO,2014,,,,,,,,,,-0.149659439,-0.226531027,0.213295112,0.032193011,0.33157457,-0.10369467,-0.338850804,0.001350777,-0.222633488
101,AFG,1950,,,,,,,,,,-1.420025477,-0.259769313,-0.651702006,-0.53096682,-0.229307164,-0.087099077,-0.300530044,-0.670240867,0.425325576
102,AFG,1951,,,,,,,,,,-1.107649031,-0.234604065,-0.67432812,-0.600790226,-0.2124915,-0.107961844,-0.29933163,-0.330611914,0.091850122
103,AFG,1952,,,,,,,,,,-1.175609614,-0.186261305,-0.340005464,-0.612197476,0.94027616,-0.107491276,-0.2710189,-0.771700303,0.063447904
104,AFG,1953,,,,,,,,,,-1.25295211,-0.232745533,-0.495359696,0.282970202,-0.123318043,-0.24391305,-0.311394792,-0.515339827,0.039685439
105,AFG,1954,,,,,,,,,,-0.863262585,-0.217427075,-0.726709258,-0.612010026,0.22026606,-0.125203578,-0.280266581,-0.705789386,-0.084318679
106,AFG,1955,,,,,,,,,,0.414367828,0.093786099,-0.787894774,-0.775780283,0.002740555,-0.083433783,-0.254999054,-0.23237094,-0.494820423
107,AFG,1956,,,,,,,,,,-0.909108345,-0.207907561,-0.806702402,-0.619142642,0.523205339,-0.148950275,-0.225403337,-0.649074977,-0.191008943
108,AFG,1957,,,,,,,,,,-1.357124182,-0.242002708,-0.636517946,-0.565524636,-0.253008969,-0.103086007,-0.319336634,-0.35103079,0.254782315
109,AFG,1958,,,,,,,,,,-1.400593815,-0.250966167,-0.621326858,-0.531569688,-0.303448994,-0.091387098,-0.310818996,-0.69041345,0.446357202
110,AFG,1959,,,,,,,,,,-1.219542676,-0.213734573,-0.42685366,-0.570591126,0.030909702,-0.10017453,-0.336887028,-0.756275162,0.156788749
